# HTM
#
company	ovcid	city    	name
# List extracted from http://haltetijden.htm.net/index.php, using (e.g.)
# http://haltetijden.htm.net/index.php?rs=aanvullen&rsargs[]=2881
# It seems that: ovcid = 3abcd, with abcd = HTM-haltenummer. The list below
# was actually verified to match the OVC records for only a few of the stations.
# Note that the city is filled in by hand, and may contain errors
#
# tram and bus
3	31001	Den Haag	Adriaan Goekooplaan
3	31002	Den Haag	Adriaan Goekooplaan
3	31101	Den Haag	Houtrust
3	31102	Den Haag	Houtrust
3	31104	Den Haag	Gemeentemuseum/Museon
3	31105	Den Haag	Gemeentemuseum/Museon
3	31108	Den Haag	Groot Hertoginnelaan
3	31109	Den Haag	Groot Hertoginnelaan
3	31115	Den Haag	Groot Hertoginnelaan
3	31116	Den Haag	Groot Hertoginnelaan
3	31205	Den Haag	Sportlaan
3	31206	Den Haag	Sportlaan
3	31211	Den Haag	Goudenregenplein
3	31212	Den Haag	Goudenregenplein
3	31301	Den Haag	Doctor van Welylaan
3	31302	Den Haag	Doctor van Welylaan
3	31601	Den Haag	Kraayensteinlaan
3	31602	Den Haag	Kraayensteinlaan
3	31707	Den Haag	Loosduinse Hoofdstraat
3	31708	Den Haag	Loosduinse Hoofdstraat
3	31709	Den Haag	Burgemeester Hovylaan
3	31710	Den Haag	Burgemeester Hovylaan
3	31711	Den Haag	Kapelaan Meereboerweg
3	31712	Den Haag	Kapelaan Meereboerweg
3	31810	Den Haag	Buitentuinen
3	31811	Den Haag	Buitentuinen
3	31919	Den Haag	Walnootstraat
3	31920	Den Haag	Walnootstraat
3	31921	Den Haag	Thorbeckelaan
3	31922	Den Haag	Thorbeckelaan
3	32003	Den Haag	Goudenregenstraat
3	32004	Den Haag	Goudenregenstraat
3	32007	Den Haag	Fahrenheitstraat
3	32015	Den Haag	Copernicusplein
3	32101	Den Haag	Laan van Meerdervoort
3	32102	Den Haag	Laan van Meerdervoort
3	32103	Den Haag	Weimarstraat
3	32104	Den Haag	Weimarstraat
3	32105	Den Haag	Weimarstraat
3	32106	Den Haag	Weimarstraat
3	32107	Den Haag	Cartesiusstraat
3	32108	Den Haag	Cartesiusstraat
3	32201	Den Haag	Waldeck Pyrmontkade
3	32202	Den Haag	Waldeck Pyrmontkade
3	32210	Den Haag	Van Speijkstraat
3	32211	Den Haag	Van Speijkstraat
3	32216	Den Haag	Elandstraat
3	32217	Den Haag	Elandstraat
3	32301	Den Haag	Javastraat
3	32302	Den Haag	Javastraat
3	32307	Den Haag	Mauritskade
3	32308	Den Haag	Mauritskade
3	32309	Den Haag	Dr. Kuyperstraat
3	32310	Den Haag	Dr. Kuyperstraat
3	32509	Den Haag	Carel Reinierszkade
3	32510	Den Haag	Carel Reinierszkade
3	32513	Den Haag	Reigersbergenweg
3	32514	Den Haag	Reigersbergenweg
3	32515	Den Haag	Vlamenburg
3	32516	Den Haag	Vlamenburg
3	32517	Den Haag	Hofzichtlaan
3	32518	Den Haag	Hofzichtlaan
3	32523	Den Haag	Margarethaland
3	32524	Den Haag	Margarethaland
3	32532	Den Haag	Aegonplein
3	32533	Den Haag	Aegonplein
3	32601	Den Haag	Centraal Station
3	32602	Den Haag	Centraal Station
3	32603	Den Haag	Centraal Station
3	32604	Den Haag	Centraal Station
3	32606	Den Haag	Centraal Station
3	32607	Den Haag	Centraal Station
3	32645	Den Haag	Ternoot
3	32646	Den Haag	Ternoot
3	32647	Den Haag	Oostinje
3	32648	Den Haag	Oostinje
3	32651	Den Haag	Stuyvesantplein
3	32652	Den Haag	Stuyvesantplein
3	32655	Den Haag	Stuyvesantstraat
3	32656	Den Haag	Stuyvesantstraat
3	32658	Den Haag	Station Laan van NOI
3	32659	Den Haag	Station Laan van NOI
3	32705	Den Haag	Rijswijkseplein/Station HS
3	32706	Den Haag	Rijswijkseplein/Station HS
3	32707	Den Haag	Rijswijkseplein
3	32708	Den Haag	Rijswijkseplein
3	32711	Den Haag	Weteringplein
3	32712	Den Haag	Weteringplein
3	32715	Den Haag	Rijswijkseplein
3	32717	Den Haag	Rijswijkseplein
3	32719	Den Haag	Station Hollands Spoor
3	32720	Den Haag	Station Hollands Spoor
3	32721	Den Haag	Station Hollands Spoor
3	32730	Den Haag	Station Hollands Spoor
